,mod
1448,Aqua Strong 5.1
1449,Smart 4G
1450,Andromax B16C2G
1451,A1-811
1452,A33f
1453,itel it1407
1454,Z25Plus
1455,Micromax E481
1456,SM-G313F
1457,Lenovo A328
1458,TGW-706
1459,F-02G
1460,S50D
1461,V32
1462,Neffos Y5i
1463,MEIZU M6
1464,SM-J106F
1465,X2
1466,Andromax Marshmallow Build III
1467,LG-D100
1468,Ixion E340
1469,Orange_A1
1470,SM-G570F
1471,GT-S7262
1472,InFocus M500
1473,LGM-X320L
1474,Z1
1475,PLAY LiTE
1476,M5_lite
1477,LS-5009
1478,InFocus M260
1479,Matrix
1480,QMobile X36
1481,EKO_Star_G55
1482,SM-A720F
1483,MicromaxP480
1484,LG-D325
1485,A97 IPS
1486,Alcatel 5085C
1487,CPH1801
1488,9006W
1489,MY MOBILE 708
1490,Cosmos V15
1491,P66
1492,XT1609
1493,SM-G530T
1494,SM-A520W
1495,S4D
1496,SHV-E210S
1497,iCherry_C227
1498,NOVA
1499,YD201
1500,SM-G130M
1501,ZTE Blade C310
1502,Tmovi YeahLIVE
1503,X10
1504,Redmi Note 5
1505,X170
1506,SM-G318MZ
1507,SGH-I727R
1508,P8_eMagic
1509,G630-U251
1510,SM-J700T1
1511,GT-S5310
1512,LG-K540
1513,HUAWEI G610-U15
1514,A75 MAX
1515,lephone_W2
1516,Z70
1517,MT25i
1518,V23
1519,SM-J727V
1520,A74A
1521,SM-J320M
1522,Smartfren Andromax AD688G
1523,Micromax Q326
1524,QMobile S6 PLUS
1525,INTEX AQUA YOUNG 4G
1526,SM-J327V
1527,Ilium L820
1528,SM-G930T
1529,S16
1530,V100
1531,Hudl 2
1532,FT 4008
1533,CPH1717
1534,SM-G928T
1535,GT-S7392
1536,IF9031
1537,Brisk 4G2
1538,1070TPC
1539,Flare J2S
1540,vivo Y15S
1541,GT-I9152
1542,VF695
1543,GFIVE_President_Smart_A98
1544,HTC Desire 626G dual sim
1545,QMobile ENERGY X1
1546,GT-S7272
1547,GT-I8260L
1548,RAINBOW LITE 4G
1549,SM-N900P
1550,HM 1S
1551,P3S
1552,LS-5010
1553,SM-T285
1554,Alcatel_6055U
1555,5044G
1556,CUBOT_X18_Plus
1557,IdeaTabA2109A
1558,Omega_HD_4
1559,MACHFIVE
1560,Cynus_F10
1561,Coolpad 3505I
1562,M8
1563,GT-I9060M
1564,5061
1565,cp3636a
1566,ASIADROID_AF92
1567,GT-P3110
1568,GT-S7562
1569,Mate 9
1570,SM-G920R4
1571,A71
1572,Coolpad R106
1573,Advance 4.0 L3
1574,SLA-L22
1575,lephone_W10
1576,U PULSE LITE
1577,Aqua_Q7N_Pro
1578,SM-G7105
1579,Symphony P7
1580,SM-T116
1581,SM-G965F
1582,Micromax Q383
1583,HUAWEI SCL-L01
1584,Aqua 4G+
1585,5054N
1586,3G 7271-HD70
1587,P5W
1588,Elite 4.0S
1589,4034A
1590,LG-K120
1591,TECNO-C8
1592,A75A*
1593,GT-I9190
1594,916
1595,SCH-I535
1596,R827
1597,i5K
1598,SM-G900D
1599,ZTE BLADE A602
1600,Aqua Twist
1601,ZTE Blade L5
1602,Lenovo S5000-F
1603,Z812
1604,UP Ultra
1605,O1
1606,SM-J100MU
1607,C1505
1608,XT1034
1609,LG-TP450
1610,HUAWEI TIT-AL00
1611,SAMSUNG-SM-G530AZ
1612,Lenovo S90-A
1613,5044O
1614,Nova S2
1615,B9504
1616,D2114
1617,T1-D
1618,XT1025
1619,vivo 1603
1620,BLADE L7
1621,Blade A510
1622,Z832
1623,LGLS665
1624,Mint 135
1625,TECNO IN5
1626,itel it1508
1627,Icon
1628,SM-G928P
1629,LGMS345
1630,Andi_5Q_Gold_4G
1631,A50
1632,ASUS_T00I
1633,vivo 1718
1634,itel it1408
1635,F3
1636,Micromax Q382
1637,F1f
1638,iris360
1639,Q890
1640,TGW801G
1641,Z51Q Star
1642,MITO A990
1643,ADVAN S5E Pro
1644,Micromax Q4260
1645,Aqua Joy
1646,T1GPlus
1647,Micromax A116
1648,XT1022
1649,Andromax A26C4H
1650,A66A*
1651,TM-MID792TB
1652,POLYTRON-R2507
1653,DLI-L22
1654,Blade L2 Plus
1655,EVERCOSS_A74C
1656,Micromax Q380
1657,i5E
1658,SM-J500H
1659,GT-N5100
1660,MAXTRON Apollo
1661,Micromax Q465
1662,i4D
1663,G3311
1664,HP 7
1665,6055A
1666,LS-5507
1667,LGL31L
1668,Lenovo K50a40
1669,SHV-E220S
1670,Xperia
1671,Viking
1672,Alcatel 6055U
1673,vivo 1713
1674,SCH-S738C
1675,LG-E450f
1676,8050G
1677,AM402
1678,BLU STUDIO C MINI
1679,Intex_Aqua_Dream
1680,P6
1681,A40 Indian
1682,MAXTRON_V13
1683,VirtualBox
1684,SM-N900T
1685,CRO-L23
1686,PGN528
1687,GT-I9195L
1688,ONE TOUCH 4011X
1689,Tablet_DL_2811
1690,SATURN SELFIE
1691,4013M
1692,MS55
1693,itel A11
1694,HUAWEI LUA-L02
1695,LG-D680
1696,VS990
1697,SM-J320VPP
1698,CHC-U03
1699,Flare_S4
1700,P5526A
1701,ELUGA Ray 500
1702,Karbonn A5s
1703,JMobile
1704,KIICAA POWER
1705,Eluga_Arc_2
1706,LenovoA3300-GV
1707,Celkon_Q405
1708,LG-F200S
1709,SM-T285M
1710,L50
1711,LibitiumTablet9DualCore
1712,iCherry C216
1713,C6530N
1714,SM-G920K
1715,SM-A300Y
1716,A574BL
1717,TECNO-J8
1718,RNE-L21
1719,m2
1720,SGH-I747M
1721,U55
1722,i5C
1723,itel A42 Plus
1724,B7S
1725,INTEX AQUA LIONS T1 LITE
1726,H540
1727,CRO-L22
1728,Intex Aqua Strong 5.1+
1729,SAMSUNG-SGH-I467
1730,V504730
1731,Micromax S301
1732,ZTE T920
1733,myA8 DTV
1734,Q339
1735,SAMSUNG-SM-J120A
1736,2013023
1737,QMobile i5
1738,9008J
1739,ALPHA+
1740,J4B
1741,itel A41
1742,Andromax G36C1G
1743,QMobile I9i
1744,HUAWEI Y330-U11
1745,POLYTRON R2407
1746,SM-G313HU
1747,POLYTRON R2509
1748,Lenovo A6600d40
1749,vivo 1707
1750,Redmi Note 5A Prime
1751,TFX-708G
1752,Lenovo K900_ROW
1753,981
1754,Axioo AX5
1755,2014811
1756,SM-G550T1
1757,Bluboo Mini
1758,S50
1759,LG-H735
1760,Lenovo TB3-730X
1761,4047A
1762,I221
1763,5056A
1764,ASUS_Z00RD
1765,SM-A5000
1766,SM-J200H
1767,H30-U10
1768,LG-SP200
1769,U10
1770,H940
1771,SCH-I435
1772,AX7OO
1773,A1-830
1774,P7318
1775,SNB02-NV7A
1776,Z558VL
1777,AERIAL
1778,GT-S5303B
1779,LG-E612f
1780,SM-S903VL
1781,ILIUM L1100
1782,Micromax Q300
1783,Andromax C46B2G
1784,QMobile S2
1785,ZTE BLADE A320
1786,QMobile S1
1787,L54
1788,S4035_4G
1789,Micromax Q350
1790,X17
1791,HUAWEI Y600-U20
1792,i1s
1793,VOTO V2i
1794,moto g(6)
1795,SM-T550
1796,PGN-403
1797,MTN-S630
1798,itel P41
1799,Redmi 5 Plus
1800,Flare J1s
1801,T8
1802,Micromax Q333
1803,Micromax Q452
1804,R70
1805,CROSS A7S
1806,SM-T116NY
1807,Cloud_4G_Smart
1808,iris405+
1809,Blade V6 Plus
1810,Avvio_793
1811,LG-LS995
1812,Micromax Q331
1813,SPH-L710
1814,4034X
1815,Me 5
1816,Micromax A096
1817,LG-X150
1818,ITELL K3400HD
1819,SM-J700T
1820,Z855
1821,Coolpad E570
1822,myA7 DTV
1823,D5102
1824,HUAWEI C8816D
1825,ALFA
1826,MXG401
1827,Lenovo A7010a48
1828,LGL15G
1829,TA-1033
1830,Aqua Ace
1831,Lenovo A6600a40
1832,BQru-5503
1833,SAMSUNG-SM-G360AZ
1834,M4 SS4350
1835,Urban
1836,QMobile_W35
1837,D5833
1838,SAMSUNG-SM-J320AZ
1839,SAMSUNG-SM-T337A
1840,4034G
1841,ERGO B500 First
1842,6014X
1843,RCT6873W42M
1844,itel S11
1845,SAMSUNG-SM-G900A
1846,LG-M700
1847,ILIUM X200
1848,V7
1849,GO504
1850,GT-I8190L
1851,SM-G313M
1852,EVT10Q
1853,S4X
1854,K-2
1855,XT1023
1856,SM-A9000
1857,LG-P715
1858,SHV-E160S
1859,Aqua Freedom
1860,Android TV 503D
1861,CT-88
1862,ADVAN S5E
1863,Z3
1864,ZTE T620
1865,Astra Titan 4G
1866,AX821
1867,GT-S5301
1868,Lenovo A706_ROW
1869,QMobile X60
1870,SM-J327T
1871,Omega_lite_2
1872,SM-G360V
1873,Micromax Q424
1874,SM-J727P
1875,Micromax Q381
1876,5010X
1877,LG G Optimus v2
1878,Aqua Air
1879,iris702
1880,iris 550
1881,F103 Pro
1882,LS-5017
1883,Air A10
1884,i1
1885,LS-5016
1886,Micromax Q385
1887,LAVA_R1s
1888,X1 Atom s
1889,SO-02F
1890,AXD21
1891,LG-X165g
1892,ZTE BLADE L110
1893,P3
1894,B3-A30
1895,Aqua Ace II
1896,LG-M430
1897,Lenovo A6020a46
1898,INTEX AQUA STYLE 3
1899,Micromax Q340
1900,Tab 2_3G
1901,Infinix HOT 4 Lite
1902,FRD-L02
1903,BQ-7064G
1904,X28
1905,KFFOWI
1906,SM-T210
1907,LG-K428
1908,NBTY07SMKG
1909,Moto Z (2)
1910,V50DC
1911,Micromax E451
1912,Z3001S
1913,Flair Z1
1914,C6750
1915,Andromax C46B2H
1916,SM-G570Y
1917,LGMP450
1918,TF201
1919,SM-G900V
1920,La Tab 72
1921,LG-K130
1922,R821
1923,RCT6773W22B
1924,GT-I8730
1925,PURE_III
1926,QMobile X25
1927,ZTE BLADE A110
1928,BG2-U01
1929,TA-1039
1930,MID1013
1931,Aqua Power 4G
1932,Lenovo A390_ROW
1933,QMobile S1 PRO
1934,Lenovo K10a40
1935,X330
1936,LS-4008
1937,LG-X170g
1938,GT-I8552
1939,Astra 4G
1940,PRA-LX2
1941,iris 870
1942,LGL158VL
1943,SM-J730G
1944,PSP5511DUO
1945,SM-T377V
1946,ELUGA Prim
1947,D6653
1948,DNS S4010
1949,LG-V498S1
1950,MioneI
1951,HTC Desire 820
1952,A1
1953,SM-J730FM
1954,SM-J320V
1955,LG-X240
1956,U50C
1957,MI PAD 2
1958,Rocket
1959,P05
1960,Lenovo A889
1961,Coolpad Y83-I00
1962,Micromax Q4251
1963,P700+
1964,karbonn K9 Viraat 4G
1965,9024W
1966,SM-G960U
1967,SM-G530BT
1968,SM-J330F
1969,LG-K330
1970,HUAWEI Y221-U03
1971,VS835
1972,BJ16
1973,8062
1974,Caryota 7
1975,TOMMY2
1976,XT1021
1977,AVVIO 765
1978,X8Pro
1979,SM-T217S
1980,XT907
1981,Z Play
1982,S13C
1983,BLU ADVANCE 4.0 L2
1984,cube 5.0_2GB
1985,5056N
1986,Aqua_Q7
1987,TECNO i3
1988,V23GB
1989,Snap 4G2
1990,N9137
1991,itel A20
1992,SCH-I759
1993,S55
1994,LT26i
1995,C6833
1996,JERRY2
1997,SM-J510F
1998,Z932L
1999,iris80
2000,Woxter QX78
2001,FS408
2002,Centric CM3321Plus
2003,MAX2
2004,Bp 326 Mori
2005,SM-P555
2006,Lenovo A369i
2007,P71
2008,SM-N915S
2009,Desire 820G+
2010,S4K
2011,A750
2012,4009E
2013,LG-K371
2014,Andromax AD687G
2015,SM-T380
2016,LG-M257
2017,DIG-L03
2018,X20S
2019,C1905
2020,Be_X
2021,UL40
2022,iris fuel60
2023,PICOphone_M4P_M3
2024,MTECH TURBO L9
2025,K9 Smart
2026,FS407
2027,iris X8q
2028,LG-F180L
2029,SM-G386T1
2030,V5
2031,Z200
2032,itel_it1503
2033,S4T
2034,SC-04E
2035,LG-H340AR
2036,D2302
2037,Orange-Rise31
2038,Twist Mini
2039,POLYTRON_R2406
2040,LG-K120GT
2041,RX298
2042,LS-4503
2043,Orange Rise32
2044,SM-J310
2045,ETENO
2046,Flare J2 Mini
2047,Gravity
2048,LUA-L22
2049,Coolpad 5267
2050,Wisdom +
2051,Micromax Q386
2052,Aqua_Lions_3G
2053,LG-F720L
2054,DRP29101
2055,Infinix HOT 4 Pro
2056,G3223
2057,C2004
2058,HUAWEI Y520-U22
2059,A74E*
2060,Lenovo TB-7504X
2061,QUIQ cosmos 4G
2062,era
2063,R7kf
2064,Candy
2065,i6 Metal HD
2066,SM-J530Y
2067,SM-N900U
2068,Lenovo TB-8504F
2069,AURII_VIVID
2070,GT-I9060L
2071,Glory G1000
2072,SM-N920L
2073,HUAWEI CUN-L33
2074,LG-D105
2075,LS-5014
2076,S4F
2077,LS-4004
2078,M7
2079,LG-X155
2080,GT-S7275R
2081,SM-A500F
2082,itel it1406
2083,lephone_W8
2084,SM-G800H
2085,GT-I9105P
2086,4034F
2087,ARENA
2088,831C
2089,LG-H343
2090,COMIO C1
2091,C6602
2092,4027A
2093,Micromax Q402Plus
2094,4009D
2095,LGLS770
2096,BQru-4072
2097,QMobile_X14
2098,Optima 7.22 3G TT7002MG
2099,Transformer TF101
2100,SCH-R970C
2101,EGO_Surf_i
2102,5080A
2103,O+ Upsized
2104,GI-419
2105,TECNO_W4
2106,TR10CS1
2107,Micromax Q417
2108,NABI2-NV7A
2109,iris 820
2110,CP8298_I00
2111,Lenovo A850+
2112,P470
2113,DEFI GO
2114,HUAWEI TAG-L13
2115,TM1318
2116,HTC6525LVW
2117,XT1585
2118,Micromax Q4310
2119,Xlife-Proton5 Pro
2120,Titanium Jumbo 2
2121,SAMSUNG-SGH-I547
2122,SM-G531M
2123,Z80
2124,Platinum A57
2125,TECNO IN2
2126,itel S21
2127,SM-A700FD
2128,TECNO M3
2129,KFDOWI
2130,Lenovo TB-X304L
2131,PRA-LA1
2132,HEAT4
2133,Lenovo K10e70
2134,TIT-AL00
2135,SHV-E250S
2136,QMobile i10
2137,VSP250g
2138,SM-G955U1
2139,Primo GM3
2140,HTC Desire 526G dual sim
2141,YU5510
2142,Lenovo K53a48
2143,Eros Plus
2144,Spice V801
2145,Lenovo A5500-H
2146,Nitro_4s
2147,myA10
2148,LG-P655H
2149,JazzX JS7 PRO
2150,X41 Plus
2151,Lenovo K8 Note
2152,PTB7PAP_PTB7PAB_PTB7PAR
2153,MS3B
2154,F103
2155,Kylin_5.0S
2156,Impress_Energy
2157,SM-N920T
2158,Lenovo A7000-a
2159,mb4-3G
2160,5012G
2161,E2006
2162,Orange-Rise51
2163,LG-SP320
2164,HUAWEI Y360-U23
2165,MediaPad T1 8.0 Pro
2166,SkyPad E8-3D
2167,mTAB7-M765D
2168,SM-T561M
2169,A571VL
2170,ONE TOUCH 4016A
2171,VS501
2172,Ilium X520
2173,HUAWEI Y560-L02
2174,5054W
2175,Andi5U_Platino
2176,LOGIC_L5D
2177,SM-J200BT
2178,GT-S5301L
2179,Micromax Q352
2180,Wave3.5
2181,EXMART R1
2182,M502
2183,itel A21
2184,FTU18A00
2185,47418
2186,HUAWEI Y635-L03
2187,TCL 302U
2188,M4 SS4456
2189,ASUS_T00N
2190,Aqua Y2 IPS
2191,SAMSUNG-SM-G928A
2192,Lenovo A536
2193,PMT3257_3G
2194,FREEDOM X1
2195,A120
2196,Eluga_A2
2197,IQ4601
2198,Micromax AQ4502
2199,Neffos Y5
2200,PKT-301
2201,BLU DASH M2
2202,Flare_J2_Lite
2203,A74N
2204,LG-F240S
2205,ADR6410LVW
2206,BLU STUDIO X8 HD
2207,itel_it1502
2208,LGL58VL
2209,K9 Viraat
2210,NID-1002
2211,INTEX AQUA LIONS N1
2212,F-01F
2213,Micromax Q375
2214,4013X
2215,D2212
2216,HUAWEI SCL-L03
2217,O6
2218,Lenovo A3000-H
2219,era 2
2220,Aquaris M10
2221,M5s
2222,SAMSUNG-SM-G935A
2223,LG-M327
2224,ASUS_Z01BDB
2225,LGMS395
2226,GT-S7562L
2227,Z988
2228,GIONEE P7
2229,Lenovo P1a42
2230,Champ 10
2231,AX681
2232,HUAWEI LUA-L01
2233,ST7150
2234,Z717VL
2235,POLYTRON R2506
2236,HUAWEI TAG-L32
2237,MyPhone my96 DTV
2238,HUAWEI LUA-L03
2239,RCT6773W22BM
2240,SM-G550T
2241,Infinix X5010
2242,M5
2243,PMT3787_3G
2244,itel S41
2245,Android
2246,Aqua_Pro_4G
2247,SM-J120FN
2248,Bucare Y330-U05
2249,PGN527
2250,A75G
2251,B75
2252,iris50
2253,C6903
2254,F1fw
2255,Ilium X710
2256,PHQ520
2257,4047G
2258,S4i
2259,ASUS_A006
2260,Pixel C
2261,SM-G928V
2262,HUAWEI CUN-L22
2263,PSP3470DUO
2264,QTASUN2
2265,Astra Metal 4G
2266,LG-F350S
2267,V503630
2268,LLD-AL10
2269,ASUS_Z008
2270,CPH1819
2271,7070X
2272,CINK TAB ER7415
2273,SM-G965U
2274,PICOphone_M4U_M2_M
2275,V5s
2276,Lava A51
2277,iris 605
2278,Ocean 6
2279,Micromax Q370
2280,LG-K520
2281,SM-G900W8
2282,YOLO PRO
2283,Xavy_L8
2284,A74E
2285,Elite 5.0MP
2286,Lenovo A2016a40
2287,SHV32
2288,Infinity_K
2289,HM2014818
2290,LT650
2291,Grand2
2292,G3313
2293,LG-M255
2294,H710VL
2295,Konnect Neo 4G
2296,LGL164VL
2297,LG-H810
2298,SM-J105Y
2299,S6
2300,LG-H955
2301,Alfa L
2302,Blade V6
2303,ELUGA_I2
2304,SM-J250G
2305,MyPhone my93 DTV
2306,INTEX CLOUD C1
2307,Le X526
2308,ADMIRE_SENSE_DUO
2309,A62
2310,B1-7A0
2311,LTE2
2312,SM-P600
2313,moto e5 cruise
2314,P023
2315,QMV7B
2316,FIG-LA1
2317,CPN-L09
2318,TRENDY
2319,X81
2320,LG-G710
2321,P100
2322,ROBBY2
2323,ZTE Z10
2324,LG-X180g
2325,SAMSUNG-SM-G920A
2326,Flare S4 Max
2327,GHIA47418N
2328,S_plus
2329,BLN-L24
2330,Z836BL
2331,TECNO W1
2332,LGLS675
2333,F3313
2334,era_X
2335,ELUGA_Pulse_X
2336,INTEX AQUA TREND LITE
2337,LS-5504
2338,4017F
2339,Flare_S6_Lite
2340,ASUS_X017DA
2341,RHYTHM RX350
2342,V75
2343,TECNO WX3P
2344,Studio G2 HD
2345,KF4Go
2346,XOLO One
2347,LGL82VL
2348,G3312
2349,CP8676_I03
2350,FS520
2351,HUAWEI TIT-U02
2352,HUAWEI CUN-L23
2353,SM-P585
2354,SM-C5000
2355,SAMSUNG-SGH-I337
2356,TRIO V50 DT
2357,vivo 1609
2358,LG-H440
2359,V120
2360,A59
2361,250
2362,FB100
2363,MyPhone my72 DTV
2364,LG-K100
2365,MS50L
2366,TA-1028
2367,C5503
2368,INTEX AQUA LIONS T1
2369,X3_Soul_Style
2370,SM-G550T2
2371,SM-J701M
2372,Blade L5
2373,TECNO i7
2374,Y13
2375,Aqua 3G Pro Q
2376,POLYTRON R2507
2377,HUAWEI LYO-L01
2378,SM-J330L
2379,SM-J5007
2380,HUAWEI VNS-L21
2381,VR BOT 552
2382,SM-G361H
2383,J7(2016)
2384,Y12
2385,INTEX AQUA LIONS 2
2386,I-KALL
2387,Ilium X510
2388,SM-N900K
2389,R7f
2390,SHV-E470S
2391,SM-G920P
2392,Micromax Q427
2393,FLA-LX2
2394,HEAVEN 10.1 1.2
2395,TECNO W4
2396,J7 Pro
2397,Nitro 4N LTE
2398,C9
2399,VOX FIRE 4G VS5037PL
2400,E5533
2401,BQru-5035
2402,3G
2403,B9502
2404,LUX
2405,moto g(6) plus
2406,Z833
2407,Z917VL
2408,P7
2409,SCL-L01
2410,P88
2411,SM-T377T
2412,Coolpad 3622A
2413,YU5010
2414,VS880PP
2415,A48
2416,LYF_LS-4006
2417,LS-5002
2418,TA-1003
2419,8050E
2420,Konnect 5.1
2421,vivo 1802
2422,JazzX JS2
2423,PSP3423DUO
2424,LGUS110
2425,LND-L29
2426,NS-P16AT08
2427,vivo Y35
2428,ICE2
2429,STARNAUTE4
2430,N9560
2431,Infinit MX Pro
2432,AURA_LITE
2433,Tablet DL 3421
2434,Aqua Power+
2435,LG-H910
2436,ZH&K ODYSSEY J1+
2437,Micromax Q463
2438,Smartfren Andromax AD6B1H
2439,SM-J730K
2440,Micromax Q437
2441,Flare S4 lite
2442,BEAT 8
2443,Redmi 3X
2444,GM 5 Plus d
2445,MI 5X
2446,SM-G7202
2447,WAS-LX1
2448,itel Prime 4
2449,K9 Smart Grand
2450,Astra Young Pro
2451,Sparkle V
2452,i7A
2453,L-ITE 400M
2454,Aqua_Power_II
2455,Dash G
2456,SAMSUNG-SM-G890A
2457,KFAUWI
2458,iris 600
2459,LG-V497
2460,SM-T817T
2461,T72HM3G
2462,HUAWEI SCL-L02
2463,Hisense U963
2464,AURII_DREAM_One
2465,VFD 100
2466,Astro_Phablet_9
2467,LG-V496
2468,Energy E12
2469,ZTE Blade A511
2470,5015A
2471,LM-X410(FG)
2472,FS454
2473,SO-02H
2474,Infinity i
2475,LDN-L21
2476,AT7F
2477,ePad-7
2478,P55 Novo 4G
2479,SM-G900R6
2480,Myria_Wide_2
2481,SM-A500H
2482,SHV-E330L
2483,XT1028
2484,E1C_3G
2485,K9 Smart Yuva
2486,S4
2487,Nomi C070011
2488,Note
2489,XT1060
2490,Aqua_Q7_Pro
2491,SM-P585Y
2492,itel A12
2493,S503630
2494,SP531
2495,Intex_Cloud_Style_4G
2496,M50 STAR
2497,STAR 4
2498,X-TIGI_JOY7_MAX
2499,Impress_Saturn
2500,LG-H440AR
2501,IFoo_T55
2502,Blade A460
2503,Flare_Lite_3S
2504,LG-H326
2505,S6s
2506,Rex
2507,FORZA
2508,6055B
2509,LG-K121
2510,S471
2511,Alcatel_4060A
2512,9001X
2513,AUM-AL20
2514,Micromax A99
2515,X4.5
2516,D5322
2517,QTab V7
2518,9250
2519,H1611
2520,Touchbook M7 Pro
2521,SM-J710FN
2522,P5
2523,HUAWEI Y560-L03
2524,U
2525,PMT3308_3G
2526,Knight D50
2527,Tab 3G 7-2
2528,SM-G900S
2529,AX1045
2530,ZTE Blade V770
2531,2014817
2532,5027B
2533,QMobile X32 Power
2534,SHV-E300L
2535,Lenovo K8 Plus
2536,Elite 4T
2537,C15150m
2538,Z983
2539,IrisPad7040
2540,O+ 8.38z Android
2541,Turbo C5
2542,ONIX
2543,Q490
2544,FIT
2545,SAMSUNG-SM-G891A
2546,SM-J727T
2547,SMART EV5
2548,SM-J250M
2549,F-01H
2550,SM-J8 Pro
2551,Grand M
2552,Z00D
2553,Micromax E471
2554,ST1009
2555,6058D
2556,Optima_Prime_3_3G_TS7131MG
2557,A97 2GB
2558,SENSEIT_A109
2559,Lenovo PB2-650M
2560,MITO A360
2561,Smart Pro
2562,SM-A320F
2563,I471
2564,SM-C7000
2565,A1 Indian
2566,LP_EVORA
2567,QMobile Z10
2568,V4
2569,Aura Note 4G
2570,V6
2571,Lenovo TB-7304X
2572,LOGIC X4M LITE
2573,CM2221
2574,vivo Y51
2575,NX16A8116KP
2576,Flare S5 Plus
2577,LG-H345
2578,SM-G906K
2579,HUAWEI ALE-L04
2580,FLYCAT OPTIMUM 5004
2581,SM-J320W8
2582,PGN517
2583,Impress_Luck
2584,Lenovo TB-7304F
2585,AM530
2586,SM-J327R6
2587,LDN-LX3
2588,YUBI_PLUS
2589,AX920
2590,LS-5006
2591,N702
2592,Azumi_IRO_A4_Q
2593,L52 Pro
2594,Micromax Q412
2595,Astra Colors 4G
2596,P5_eMagic
2597,AM518
2598,Orange-Dive72
2599,NEXT_P
2600,SM-T530NU
2601,Ilium L950
2602,PGN611
2603,MTN-L860
2604,POLYTRON R2508
2605,5060
2606,5023F
2607,iris 810
2608,SM-G530T1
2609,L1F
2610,E6553
2611,10DTB42
2612,TECNO K7
2613,Lenovo Z90a40
2614,SM-A800I
2615,Masstel N535
2616,LGM-X600K
2617,Ilium X210
2618,G14
2619,Aquaris V
2620,SM-N9500
2621,4047X
2622,Venture V8
2623,X30
2624,Hisense U962
2625,DRA-L21
2626,C6603
2627,MITO A82
2628,QMobile Dual One
2629,HUAWEI TAG-L23
2630,E2 Noir
2631,HUAWEI TAG-L01
2632,Go Connect Lite
2633,SM-J120ZN
2634,FIG-LX1
2635,FLARE J2
2636,W_K600
2637,Zebra Z5516
2638,SM-J200F
2639,INTEX AQUA ZENITH
2640,BQ-5522
2641,CPH1723
2642,Noir A1 lite
2643,A7 7
2644,HM2014817
2645,LG-X210
2646,Venus_V3_5010
2647,Z828TL
2648,A1000
2649,VS988
2650,Neffos C5a
2651,A6 Glam
2652,UP_Groove
2653,M20i
2654,Swipe_Elite_3
2655,iris65
2656,VFD 1300
2657,5059A
2658,Hisense U601S
2659,SM-J727A
2660,ZTE BLADE V8 MINI
2661,CP8676_I02
2662,IF9035
2663,SM-J400F
2664,S5.1
2665,RHYTHM RX200
2666,Panasonic ELUGA L2
2667,SM-N910H
2668,Micromax Q372
2669,Alcatel_5054O
2670,Qnet
2671,KODAK_SMARTWAY_M1
2672,MITO A39
2673,SM-T360
2674,TZ874
2675,RCT6303W87DK
2676,INTEX AQUA LIONS X1+
2677,Z90
2678,Micromax E352
2679,DL8006
2680,LM-X415S
2681,Infinit_Lite_2
2682,QMobile S5
2683,Panasonic T44
2684,SM-S920L
2685,TF201T
2686,MS60
2687,HTC Desire 625
2688,SAMSUNG-SM-N920A
2689,Z820
2690,Neffos X1 Lite
2691,Y538
2692,LG-K500
2693,ZTE BLADE A310
2694,GLAM
2695,LG-US996
2696,PICOpad 7 3G
2697,MyPhone MY32L
2698,TRT-L21A
2699,LS-5503
2700,PC2
2701,lephone_W7R
2702,HARRY
2703,Nokia 7 plus
2704,BQ-4526
2705,LGUS991
2706,A40 Indian Plus
2707,BQS-4707
2708,5059
2709,MOBO MB600
2710,Pluri_Q8
2711,U20_Plus
2712,ADMIRE_CURVE_NEO
2713,Micromax Bharat 5 Plus
2714,prime
2715,LG-H340
2716,BMM_533D
2717,B1-850
2718,Twister5.0
2719,MotoE2
2720,Micromax Q440
2721,Kylin 5.0
2722,ZTE BLADE A510
2723,Micromax C1A
2724,RHYTHM RX75
2725,LG-K530
2726,P4_Pro
2727,SM-N910T
2728,E5363
2729,X1 Grand
2730,Amaze S6 Plus
2731,5019D
2732,M350 Pro
2733,ELUGA I3 Mega
2734,Archos 97c Platinum
2735,H551
2736,HTCD100LVWPP
2737,A577VL
2738,Xylo P
2739,View XL
2740,TECNO-W3
2741,VFD 1100
2742,MITO A17
2743,SM-J327R7
2744,ORIGINS PRO
2745,S8 edge
2746,S504730
2747,SM-C900F
2748,HUAWEI KII-L21
2749,EROS 4G
2750,Roar_V78
2751,SM-J3119
2752,F5_Color_M5
2753,P6_plus
2754,S7D
2755,PMT3157_3G
2756,BLACK-1XM
2757,M-701
2758,Pop4
2759,HTC Desire 728 dual sim
2760,HTC Desire 820 dual sim
2761,verykoolSL4050
2762,U2
2763,SM-J330FN
2764,Mtech ACE4G
2765,HUAWEI LUA-L23
2766,LS-5201
2767,A88 Pro
2768,NX16A10132S
2769,Block
2770,C6740N
2771,Thrill Boost
2772,HT700S
2773,Y100_Plus
2774,FLARE
2775,Dash L2
2776,Positivo Twist 4G
2777,A1 lite
2778,Micromax Q303
2779,INTEX AQUA JEWEL 2
2780,iris88s
2781,ADVAN S40
2782,Blade A465
2783,GI-626
2784,itel A44 Pro
2785,Flare_P1_Mini
2786,Advance 4.0M
2787,L224Plus
2788,MAXTRON PLUTO
2789,SUGAR Y8 MAX
2790,UniQ
2791,S12
2792,AM1010V
2793,itel it1518
2794,Coolpad 3503I
2795,HTC Desire 10 lifestyle
2796,LOOK
2797,F80 PIABELLA
2798,V502940
